match,sku,titulo,departamento,categoria,preco,preco_oferta,meta_fabricante,cor,meta_tamanho,mpn,gtin,meta_peso,meta_volume,meta_genero
27470,124-0071-234-01,Bicicleta Caloi Monster High Infantil - Aro 16,Bike,Bicicletas,339.15,339.15,Caloi,Preto/Rosa,,BIC.MONSTER HIGH ARO16 PTO/FUC,7891401015488,0,0,
27486,123-7724-024,Camisa Nike Internacional III 13/14 Infantil - Cor: Branco+Vermelho,Infantil,Camisas de Futebol,127.9,127.9,Nike,Prata+Azul,,,,0,0,
27504,132-0652-024,Calção Adidas Flamengo I 13/14 - Cor: Branco+Vermelho,Futebol,Calções,0,0,Adidas,Branco/Vermelho,,,,0,0,
27534,124-1945-793-01,Bicicleta Caloi Expert - Aro 20,Bike,Bicicletas,356.15,356.15,Caloi,Chumbo+Amarelo,,Expert Preta,7891473015140,0,0,
27551,004-0576-832,Short Nike Modern Mix - Cor: Azul claro+Branco,Casual,Shorts,0,0,Nike,Azul Cla/Branco,,,,0,0,
27558,004-4674-978,Tênis Nike Lunaracer+ 3 - Cor: Roxo+Verde,Running,Tênis Performance,229.9,229.9,Nike,ROXO/VERDE,,,,0,0,
27581,123-7696-014,Camiseta Regata Nike Miler - Cor: Branco,Running,Camisetas,69.9,69.9,Nike,NULL,,NULL,NULL,0,0,
27584,004-0860-814,Camiseta Regata Nike Premier Maria - Cor: Laranja Claro,Tennis e Squash,Camisetas,79.9,79.9,Nike,Salmao,,,,0,0,
27586,025-0436-002,Caneleira Puma Universal - Cor: Preto+Vermelho,Futebol,Caneleiras,0,0,Puma,Preto/Vermelho,,,,0,0,
27587,004-0920-388,Chuteira Nike Mercurial Vortex CR7 FG - Cor: Laranja+Branco,Futebol,Chuteiras,0,0,Nike,Branco/Laranja,,,,0,0,
27589,025-2700-274,Chuteira Puma Universal IT - Cor: Amarelo+Preto,Futebol,Chuteiras,159.9,159.9,Puma,AMARELO/PRETO,,,,0,0,
27598,132-0780-028,Tênis Adidas LK Trainer 5 Syn K Infantil - Cor: Branco+Preto,Infantil,Tênis,0,0,Adidas,Branco/Preto,,,,0,0,
27691,132-2828-451,Tênis Adidas Predator CF Infantil - Cor: Preto+Verde Limão,Infantil,Tênis,0,0,Adidas,PRETO/VERDE,,,,0,0,
27742,004-0314-008-01,Boné Nike Heritage Washed 86 - Cor: Azul Royal,Casual,Bonés,0,0,Nike,Azul,,,,0,0,
27746,073-5839-014,Camisa Adidas Campeon 13 - Cor: Branco,Futebol,Uniformes,79.9,79.9,Adidas,Prata+Azul,,,,0,0,
27755,123-3211-040,Camiseta Nike Poly Crew - Cor: Chumbo,Tennis e Squash,Camisetas,0,0,Nike,Azul escuro,,,,0,0,
27764,004-0914-388,Chuteira Nike Mercurial Vortex CR7 TR Infantil - Cor: Laranja+Branco,Infantil,Chuteiras,94.9,94.9,Nike,Branco/Laranja,,,,0,0,
27771,004-6520-198,Sandália Nike Sunray Adjust 4 GGP Infantil - Cor: Roxo,Infantil,Sandálias,0,0,Nike,Roxo,,,,0,0,
27778,132-2794-066,Tênis Adidas F50 Adizero Messi Crib Infantil - Cor: Azul+Vermelho,Infantil,Tênis,0,0,Adidas,Rosa/Roxo,,,,0,0,
27779,132-4359-174,Tênis Adidas Kanadia 5 - Cor: Cinza+Vermelho,Running,Tênis,229.9,229.9,Adidas,Azul Esc/Roxo,,,,0,0,
27792,132-1671-180,Top Adidas Print Gráfica Workout - Cor: Grafite+Preto,Fitness e Musculação,Tops,0,0,Adidas,Cinza Escuro,,,,0,0,
27995,132-0996-028,Bermuda Adidas Barricade - Cor: Branco+Preto,Tennis e Squash,Bermudas,0,0,Adidas,Prata+Azul,,,,0,0,
28009,073-2198-012,Bermuda Adidas Chelsea Essentials - Cor: Marinho,Fitness e Musculação,Bermudas,0,0,Adidas,Azul escuro,,,,0,0,
28087,004-2393-777,Tênis Nike Air Pegasus+ 30 - Cor: Vermelho+Marinho,Running,Tênis Performance,0,0,Nike,Vermelho/Branco,,,,0,0,
28104,025-1447-338,Tênis Puma Villian S Zebra - Cor: Pink,Casual,Tênis,0,0,Puma,Rosa,,,,0,0,
28162,025-4283-004,Bermuda Puma Cargo - Cor: Bege,Casual,Bermudas,0,0,Puma,Marrom,,,,0,0,
28169,132-2016-811,Camisa Adidas Fluminense I Goleiro 13/14 s/nº - Cor: Marrom+Verde,Futebol,Camisas de Time,0,0,Adidas,Cinza Esc/Verde Cla,,,,0,0,
28175,132-1825-028,Camiseta Adidas Response - Cor: Branco+Preto,Tennis e Squash,Camisetas,89.9,89.9,Adidas,Prata+Azul,,,,0,0,
28185,004-2236-026,Camiseta Nike Speed Legend - Cor: Preto+Branco,Fitness e Musculação,Camisetas,0,0,Nike,Chumbo+Amarelo,,,,0,0,
28222,004-1315-152-01,Minibola Nike Skills PL,Futebol,BOLAS,0,0,Nike,Branco/Roxo,,,,0,0,
28240,132-0030-078,Tênis Adidas adiPower Barricade - Cor: Branco+Amarelo,Tennis e Squash,Tênis,399.9,399.9,Adidas,Branco/Verde Cla,,,,0,0,
