match,sku,titulo,departamento,categoria,preco,preco_oferta,meta_fabricante,cor,meta_tamanho,mpn,gtin,meta_peso,meta_volume,meta_genero
27470,809940FP,Bicicleta Caloi Monster High - Aro 16 - Selim Exclusivo - Cor: Preto/Rosa,Equipamentos,Bike,399,379.05,Caloi,Preto/Rosa,,BIC.MONSTER HIGH ARO16 PTO/FUC,7891401015488,0,0,
27482,81032044,Bola de Futebol de Campo Nike Strike PL SC2296 - Cor: Branco/Roxo,Acessorios,Futebol,0,0,Nike,Branco/Roxo,,,,0,0,
27486,80083201,Camisa Nike Internacional III - Infantil - Cor: BRANCO,Vestuario,Futebol,0,0,Nike,Prata+Azul,,,,0,0,
27504,80824949,Calção Adidas Flamengo I 2013 - Masculino - Cor: Branco/Vermelho,Vestuario,Futebol,49.9,47.41,Adidas,Branco/Vermelho,,,,0,0,M
27529,812883NE,Tênis Puma Wheel Vulc – Masculino - Cor: Marrom Claro,Calcados,Casual,99.9,94.91,Puma,Marrom Claro,,,,0,0,M
27534,77751802,Bicicleta Caloi Expert - Aro 20 - Cor: PRETO,Equipamentos,Bike,0,0,Caloi,Chumbo+Amarelo,,Expert Preta,7891473015140,0,0,
27551,8165689E,Short Nike Modern Mix 545859 - Feminino - Cor: Azul Cla/Branco,Vestuario,Casual,89.9,85.41,Nike,Azul Cla/Branco,,,,0,0,F
27558,800179QG,Tênis Nike Lunaracer 3 - Feminino - Cor: ROXO/VERDE,Calcados,Running Performance,199.9,189.91,Nike,ROXO/VERDE,,,,0,0,F
27564,8100789E,Bola de Futebol de Campo Nike Manchester City Supporters FA13 - Cor: Azul Cla/Branco,Acessorios,Futebol,69.9,66.41,Nike,Azul Cla/Branco,,,,0,0,
27581,80070301,Camiseta Regata Nike Miler Sl - Masculina - Cor: Branco,Vestuario,Running Performance,69.9,66.41,Nike,NULL,,NULL,NULL,0,0,M
27584,8104184P,Camiseta Regata Nike Premier Maria Tank – Feminina - Cor: Salmao,Vestuario,Tennis,89.9,85.41,Nike,Salmao,,,,0,0,F
