exato,match,sku,titulo,departamento,categoria,preco,preco_oferta,meta_fabricante,cor,meta_tamanho,mpn,gtin,meta_peso,meta_volume,meta_genero,match_match,match_sku,match_titulo,match_departamento,match_categoria,match_preco,match_preco_oferta,match_meta_fabricante,match_cor,match_meta_tamanho,match_mpn,match_gtin,match_meta_peso,match_meta_volume,match_meta_genero
S,27470,124-0071-234-01,"Bicicleta Caloi Monster High Infantil - Aro 16",Bike,Bicicletas,339.15,339.15,Caloi,Preto/Rosa,,"BIC.MONSTER HIGH ARO16 PTO/FUC",7891401015488,0,0,,27470,809940FP,"Bicicleta Caloi Monster High - Aro 16 - Selim Exclusivo - Cor: Preto/Rosa",Equipamentos,Bike,399,379.05,Caloi,Preto/Rosa,,"BIC.MONSTER HIGH ARO16 PTO/FUC",7891401015488,0,0,
N,27486,123-7724-024,"Camisa Nike Internacional III 13/14 Infantil - Cor: Branco+Vermelho",Infantil,"Camisas de Futebol",127.9,127.9,Nike,Prata+Azul,,,,0,0,,186265,8349053I,"Camisa Nike Internacional I 2014 s/nº - Infantil - Cor: Vermelho/Branco",Vestuario,Futebol,179.9,170.91,,Vermelho/Branco,NULL,,,0,0,NULL
N,27504,132-0652-024,"Calção Adidas Flamengo I 13/14 - Cor: Branco+Vermelho",Futebol,Calções,0,0,Adidas,Branco/Vermelho,,,,0,0,,28400,80825249,"Calção Adidas Flamengo I 2013 - Infantil - Cor: Branco/Vermelho",Vestuario,Futebol,39.9,37.91,Adidas,Branco/Vermelho,,,,0,0,
S,27534,124-1945-793-01,"Bicicleta Caloi Expert - Aro 20",Bike,Bicicletas,356.15,356.15,Caloi,Chumbo+Amarelo,,"Expert Preta",7891473015140,0,0,,27534,77751802,"Bicicleta Caloi Expert - Aro 20 - Cor: PRETO",Equipamentos,Bike,0,0,Caloi,Chumbo+Amarelo,,"Expert Preta",7891473015140,0,0,
S,27551,004-0576-832,"Short Nike Modern Mix - Cor: Azul claro+Branco",Casual,Shorts,0,0,Nike,"Azul Cla/Branco",,,,0,0,,27551,8165689E,"Short Nike Modern Mix 545859 - Feminino - Cor: Azul Cla/Branco",Vestuario,Casual,89.9,85.41,Nike,"Azul Cla/Branco",,,,0,0,F
S,27558,004-4674-978,"Tênis Nike Lunaracer+ 3 - Cor: Roxo+Verde",Running,"Tênis Performance",229.9,229.9,Nike,ROXO/VERDE,,,,0,0,,27558,800179QG,"Tênis Nike Lunaracer 3 - Feminino - Cor: ROXO/VERDE",Calcados,"Running Performance",199.9,189.91,Nike,ROXO/VERDE,,,,0,0,F
S,27581,123-7696-014,"Camiseta Regata Nike Miler - Cor: Branco",Running,Camisetas,69.9,69.9,Nike,NULL,,NULL,NULL,0,0,,27581,80070301,"Camiseta Regata Nike Miler Sl - Masculina - Cor: Branco",Vestuario,"Running Performance",69.9,66.41,Nike,NULL,,NULL,NULL,0,0,M
S,27584,004-0860-814,"Camiseta Regata Nike Premier Maria - Cor: Laranja Claro","Tennis e Squash",Camisetas,79.9,79.9,Nike,Salmao,,,,0,0,,27584,8104184P,"Camiseta Regata Nike Premier Maria Tank – Feminina - Cor: Salmao",Vestuario,Tennis,89.9,85.41,Nike,Salmao,,,,0,0,F
S,27586,025-0436-002,"Caneleira Puma Universal - Cor: Preto+Vermelho",Futebol,Caneleiras,0,0,Puma,Preto/Vermelho,,,,0,0,,27586,81257719,"Caneleira Puma Universal - Adulto - Cor: Preto/Vermelho",Acessorios,Futebol,39.9,37.91,Puma,Preto/Vermelho,,,,0,0,
S,27587,004-0920-388,"Chuteira Nike Mercurial Vortex CR7 FG - Cor: Laranja+Branco",Futebol,Chuteiras,0,0,Nike,Branco/Laranja,,,,0,0,,27587,80464038,"Chuteira de Campo Nike Mercurial Vortex CR Fg - Cor: BRANCO/LARANJA",Calcados,Futebol,0,0,Nike,Branco/Laranja,,,,0,0,
